"runName","chain","repId","rootConfig","count","nTrees"
"v4cross-b-pt-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4",15,183
"v4cross-b-pt-aware","aware",NA,"A1,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",3,183
"v4cross-c-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,D4",10,182
"v4cross-c-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C4,D1,D2,D3,D4",21,182
"v4cross-c-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C3,C4,D1,D2,D3,D4",119,182
"v4cross-c-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C2,C3,C4,D1,D2,D3,D4",7,182
"v4cross-c-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C3,C4,D1,D2,D3,D4",3,182
"v4cross-c-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C4,D1,D2,D3,D4",22,182
"v4cross-c-aware","aware",NA,"A1,A2",154,174
"v4cross-c-aware","aware",NA,"A1,A2,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",19,174
"v4cross-c-aware","aware",NA,"A1,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",1,174
"v4cross-b-pt5-rep01-blind","blind",1,"A1,A2,A3,A4",2,183
"v4cross-b-pt5-rep01-blind","blind",1,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",16,183
"v4cross-b-pt5-rep01-blind","blind",1,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D4",1,183
"v4cross-b-pt5-rep01-blind","blind",1,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D3,D4",3,183
"v4cross-b-pt5-rep01-blind","blind",1,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D2,D3,D4",12,183
"v4cross-b-pt5-rep01-blind","blind",1,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D3,D4",5,183
"v4cross-b-pt5-rep01-blind","blind",1,"A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4",2,183
"v4cross-b-pt5-rep01-blind","blind",1,"A1,A2,A3,A4,B1,B2,B3,C1,C2,C3,C4,D1,D2,D3,D4",9,183
"v4cross-b-pt5-rep01-blind","blind",1,"A1,A2,A3,A4,B1,B2,B4,C1,C2,C3,C4,D1,D2,D3,D4",17,183
"v4cross-b-pt5-rep01-blind","blind",1,"A1,A2,A3,A4,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",21,183
"v4cross-b-pt5-rep01-blind","blind",1,"A1,A2,A3,A4,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",27,183
"v4cross-b-pt5-rep01-blind","blind",1,"A1,A2,A3,A4,B4,C1,C2,C3,C4,D1,D2,D3,D4",26,183
"v4cross-b-pt5-rep01-blind","blind",1,"A1,A2,A3,A4,C1,C2,C3,C4",23,183
"v4cross-b-pt5-rep01-blind","blind",1,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",19,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1",11,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2",41,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3",1,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3,A4",2,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",22,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3",7,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D4",12,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D3,D4",2,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D3,D4",4,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D4",17,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3,A4,B1,B2,B3,B4,C4,D1,D2,D3,D4",1,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4",18,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3,A4,B1,B2,B4,C1,C2,C3,C4,D1,D2,D3,D4",4,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3,A4,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",2,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3,A4,C1,C2,C3,C4",8,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",2,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",1,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A2,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",2,183
"v4cross-b-pt5-rep01-aware","aware",1,"A1,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",26,183
"v4cross-b-pt5-rep02-blind","blind",2,"A1,A2,A3,A4",29,183
"v4cross-b-pt5-rep02-blind","blind",2,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",21,183
"v4cross-b-pt5-rep02-blind","blind",2,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3",2,183
"v4cross-b-pt5-rep02-blind","blind",2,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D3,D4",1,183
"v4cross-b-pt5-rep02-blind","blind",2,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D2,D3,D4",8,183
"v4cross-b-pt5-rep02-blind","blind",2,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D4",1,183
"v4cross-b-pt5-rep02-blind","blind",2,"A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4",16,183
"v4cross-b-pt5-rep02-blind","blind",2,"A1,A2,A3,A4,B1,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",6,183
"v4cross-b-pt5-rep02-blind","blind",2,"A1,A2,A3,A4,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",16,183
"v4cross-b-pt5-rep02-blind","blind",2,"A1,A2,A3,A4,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",2,183
"v4cross-b-pt5-rep02-blind","blind",2,"A1,A2,A3,A4,B4,C1,C2,C3,C4,D1,D2,D3,D4",2,183
"v4cross-b-pt5-rep02-blind","blind",2,"A1,A2,A3,A4,C1,C2,C3,C4",44,183
"v4cross-b-pt5-rep02-blind","blind",2,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",35,183
"v4cross-b-pt5-rep02-aware","aware",2,"A1",6,180
"v4cross-b-pt5-rep02-aware","aware",2,"A1,A2",2,180
"v4cross-b-pt5-rep02-aware","aware",2,"A1,A2,A3",12,180
"v4cross-b-pt5-rep02-aware","aware",2,"A1,A2,A3,A4",60,180
