"char","type","pZ0_eco1","pZ1_eco1","pZ2_eco1","pAff_eco1","pZ0_eco2","pZ1_eco2","pZ2_eco2","pAff_eco2","pZ0_eco3","pZ1_eco3","pZ2_eco3","pAff_eco3"
86,"neomorphic",0.582064297800338,0.155668358714044,0.262267343485618,0.417935702199662,0.423011844331641,0.311336717428088,0.265651438240271,0.576988155668359,0.467005076142132,0.267343485617597,0.265651438240271,0.532994923857868
87,"transformational",0.480541455160744,0.00676818950930626,0.512690355329949,0.519458544839255,0.458544839255499,0.263959390862944,0.277495769881557,0.541455160744501,0.546531302876481,0.22673434856176,0.22673434856176,0.453468697123519
88,"transformational",0.411167512690355,0.573604060913706,0.0152284263959391,0.588832487309645,0.43824027072758,0.199661590524535,0.362098138747885,0.56175972927242,0.483925549915398,0.307952622673435,0.208121827411168,0.516074450084602
89,"neomorphic",0.0423011844331641,0,0.957698815566836,0.957698815566836,0.357021996615905,0.509306260575296,0.133671742808799,0.642978003384095,0.741116751269036,0.184433164128596,0.0744500846023689,0.258883248730964
90,"neomorphic",0.871404399323181,0.0050761421319797,0.123519458544839,0.128595600676819,0.445008460236887,0.109983079526227,0.445008460236887,0.554991539763113,0.125211505922166,0,0.874788494077834,0.874788494077834
91,"transformational",0.194585448392555,0,0.805414551607445,0.805414551607445,0.463620981387479,0.263959390862944,0.272419627749577,0.536379018612521,0.593908629441624,0.138747884940778,0.267343485617597,0.406091370558376
92,"transformational",0.238578680203046,0.0050761421319797,0.756345177664975,0.761421319796954,0.409475465313029,0.367174280879865,0.223350253807107,0.590524534686971,0.465313028764805,0.368866328257191,0.165820642978003,0.534686971235195
93,"neomorphic",0.33502538071066,0.0287648054145516,0.636209813874788,0.66497461928934,0.397631133671743,0.397631133671743,0.204737732656514,0.602368866328257,0.544839255499154,0.111675126903553,0.343485617597293,0.455160744500846
94,"neomorphic",0.0338409475465313,0,0.966159052453469,0.966159052453469,0.538071065989848,0.27072758037225,0.191201353637902,0.461928934010152,0.164128595600677,0,0.835871404399323,0.835871404399323
95,"neomorphic",0.406091370558376,0.00676818950930626,0.587140439932318,0.593908629441624,0.446700507614213,0.194585448392555,0.358714043993232,0.553299492385787,0.510998307952623,0.272419627749577,0.2165820642978,0.489001692047377
96,"neomorphic",0.467005076142132,0.0253807106598985,0.50761421319797,0.532994923857868,0.38917089678511,0.11336717428088,0.49746192893401,0.61082910321489,0.331641285956007,0.0236886632825719,0.644670050761421,0.668358714043993
97,"transformational",0.439932318104907,0.011844331641286,0.548223350253807,0.560067681895093,0.451776649746193,0.33502538071066,0.213197969543147,0.548223350253807,0.399323181049069,0.0541455160744501,0.546531302876481,0.600676818950931
98,"transformational",0.225042301184433,0.00338409475465313,0.771573604060914,0.774957698815567,0.43824027072758,0.204737732656514,0.357021996615905,0.56175972927242,0.494077834179357,0.065989847715736,0.439932318104907,0.505922165820643
99,"neomorphic",0.44331641285956,0.00338409475465313,0.553299492385787,0.55668358714044,0.536379018612521,0.181049069373942,0.282571912013536,0.463620981387479,0.0744500846023689,0.00169204737732657,0.923857868020305,0.925549915397631
100,"neomorphic",0.399323181049069,0.0050761421319797,0.595600676818951,0.600676818950931,0.458544839255499,0.365482233502538,0.175972927241963,0.541455160744501,0.573604060913706,0.10321489001692,0.323181049069374,0.426395939086294
101,"neomorphic",0.257191201353638,0.00338409475465313,0.739424703891709,0.742808798646362,0.436548223350254,0.307952622673435,0.255499153976311,0.563451776649746,0.627749576988156,0.240270727580372,0.131979695431472,0.372250423011844
102,"neomorphic",0.499153976311337,0.0050761421319797,0.495769881556684,0.500846023688663,0.441624365482233,0.307952622673435,0.250423011844332,0.558375634517767,0.373942470389171,0.0473773265651438,0.578680203045685,0.626057529610829
103,"neomorphic",0.311336717428088,0.0050761421319797,0.683587140439932,0.688663282571912,0.406091370558376,0.16243654822335,0.431472081218274,0.593908629441624,0.544839255499154,0.160744500846024,0.294416243654822,0.455160744500846
104,"transformational",0.160744500846024,0.00169204737732657,0.83756345177665,0.839255499153976,0.460236886632826,0.177664974619289,0.362098138747885,0.539763113367174,0.38409475465313,0.0456852791878173,0.570219966159052,0.61590524534687
105,"neomorphic",0.83248730964467,0.0812182741116751,0.0862944162436548,0.16751269035533,0.236886632825719,0.0253807106598985,0.737732656514382,0.763113367174281,0.494077834179357,0.467005076142132,0.038917089678511,0.505922165820643
106,"neomorphic",0.115059221658206,0.0050761421319797,0.879864636209814,0.884940778341794,0.461928934010152,0.191201353637902,0.346869712351946,0.538071065989848,0.155668358714044,0.00338409475465313,0.840947546531303,0.844331641285956
107,"transformational",0.593908629441624,0.0135363790186125,0.392554991539763,0.406091370558376,0.478849407783418,0.140439932318105,0.380710659898477,0.521150592216582,0.343485617597293,0.0203045685279188,0.636209813874788,0.656514382402707
108,"neomorphic",0.373942470389171,0.0203045685279188,0.60575296108291,0.626057529610829,0.433164128595601,0.233502538071066,0.333333333333333,0.566835871404399,0.455160744500846,0.0879864636209814,0.456852791878173,0.544839255499154
109,"neomorphic",0.192893401015228,0.027072758037225,0.780033840947547,0.807106598984772,0.446700507614213,0.243654822335025,0.309644670050761,0.553299492385787,0.401015228426396,0.0744500846023689,0.524534686971235,0.598984771573604
110,"transformational",0.683587140439932,0.104906937394247,0.211505922165821,0.316412859560068,0.38917089678511,0.34010152284264,0.27072758037225,0.61082910321489,0.477157360406091,0.213197969543147,0.309644670050761,0.522842639593909
111,"transformational",0.44839255499154,0.0219966159052453,0.529610829103215,0.55160744500846,0.472081218274112,0.192893401015228,0.33502538071066,0.527918781725888,0.406091370558376,0.0676818950930626,0.526226734348562,0.593908629441624
