"runName","design","paramSet","chain","repId","metric","value_corrected","value_legacy","fracRootInside","nTrees","rdsPath"
"v4cross-b-pt-blind","v4cross","v4b","blind",NA,"trueClade_C",1,0.92896174863388,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/blind-result.rds"
"v4cross-b-pt-blind","v4cross","v4b","blind",NA,"trueClade_D",1,0.983606557377049,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/blind-result.rds"
"v4cross-b-pt-blind","v4cross","v4b","blind",NA,"trueSister_AC",1,0.524590163934426,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/blind-result.rds"
"v4cross-b-pt-blind","v4cross","v4b","blind",NA,"trueSister_BD",1,0.792349726775956,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/blind-result.rds"
"v4cross-b-pt-aware","v4cross","v4b","aware",NA,"CID",0.00745178064080023,0.00745178064080023,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/aware-result.rds"
"v4cross-b-pt-aware","v4cross","v4b","aware",NA,"falseClade_AB",0,0,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/aware-result.rds"
"v4cross-b-pt-aware","v4cross","v4b","aware",NA,"falseInner",0,0,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/aware-result.rds"
"v4cross-b-pt-aware","v4cross","v4b","aware",NA,"trueClade_A",0.92896174863388,0.792349726775956,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/aware-result.rds"
"v4cross-b-pt-aware","v4cross","v4b","aware",NA,"trueClade_B",1,1,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/aware-result.rds"
"v4cross-b-pt-aware","v4cross","v4b","aware",NA,"trueClade_C",1,0.218579234972678,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/aware-result.rds"
"v4cross-b-pt-aware","v4cross","v4b","aware",NA,"trueClade_D",1,1,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/aware-result.rds"
"v4cross-b-pt-aware","v4cross","v4b","aware",NA,"trueSister_AC",1,0,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/aware-result.rds"
"v4cross-b-pt-aware","v4cross","v4b","aware",NA,"trueSister_BD",1,1,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt/results/aware-result.rds"
"v4cross-c-blind","v4cross","v4c","blind",NA,"CID",0.0219674671380415,0.0219674671380415,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/blind-result.rds"
"v4cross-c-blind","v4cross","v4c","blind",NA,"falseClade_AB",0,0,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/blind-result.rds"
"v4cross-c-blind","v4cross","v4c","blind",NA,"falseInner",0,0,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/blind-result.rds"
"v4cross-c-blind","v4cross","v4c","blind",NA,"trueClade_A",0.752747252747253,0.752747252747253,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/blind-result.rds"
"v4cross-c-blind","v4cross","v4c","blind",NA,"trueClade_B",1,1,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/blind-result.rds"
"v4cross-c-blind","v4cross","v4c","blind",NA,"trueClade_C",1,0,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/blind-result.rds"
"v4cross-c-blind","v4cross","v4c","blind",NA,"trueClade_D",1,1,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/blind-result.rds"
"v4cross-c-blind","v4cross","v4c","blind",NA,"trueSister_AC",1,0,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/blind-result.rds"
"v4cross-c-blind","v4cross","v4c","blind",NA,"trueSister_BD",1,1,NA,182,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/blind-result.rds"
"v4cross-c-aware","v4cross","v4c","aware",NA,"CID",0.00321181919763168,0.00321181919763168,NA,174,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/aware-result.rds"
"v4cross-c-aware","v4cross","v4c","aware",NA,"falseClade_AB",0,0,NA,174,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/aware-result.rds"
"v4cross-c-aware","v4cross","v4c","aware",NA,"falseInner",0,0,NA,174,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/aware-result.rds"
"v4cross-c-aware","v4cross","v4c","aware",NA,"trueClade_A",1,0,NA,174,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/aware-result.rds"
"v4cross-c-aware","v4cross","v4c","aware",NA,"trueClade_B",1,1,NA,174,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/aware-result.rds"
"v4cross-c-aware","v4cross","v4c","aware",NA,"trueClade_C",1,1,NA,174,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/aware-result.rds"
"v4cross-c-aware","v4cross","v4c","aware",NA,"trueClade_D",1,1,NA,174,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/aware-result.rds"
"v4cross-c-aware","v4cross","v4c","aware",NA,"trueSister_AC",1,0,NA,174,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/aware-result.rds"
"v4cross-c-aware","v4cross","v4c","aware",NA,"trueSister_BD",1,1,NA,174,"/nobackup/pjjg18/mkp-sim3-v4cross-c/results/aware-result.rds"
"v4cross-b-pt5-rep01-blind","v4cross","v4b","blind",1,"CID",0.002951492280207,0.002951492280207,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/blind-rep01-result.rds"
"v4cross-b-pt5-rep01-blind","v4cross","v4b","blind",1,"falseClade_AB",0,0,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/blind-rep01-result.rds"
"v4cross-b-pt5-rep01-blind","v4cross","v4b","blind",1,"falseInner",0,0,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/blind-rep01-result.rds"
"v4cross-b-pt5-rep01-blind","v4cross","v4b","blind",1,"trueClade_A",0.972677595628415,0.972677595628415,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/blind-rep01-result.rds"
"v4cross-b-pt5-rep01-blind","v4cross","v4b","blind",1,"trueClade_B",0.994535519125683,0.448087431693989,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/blind-rep01-result.rds"
"v4cross-b-pt5-rep01-blind","v4cross","v4b","blind",1,"trueClade_C",1,1,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/blind-rep01-result.rds"
"v4cross-b-pt5-rep01-blind","v4cross","v4b","blind",1,"trueClade_D",1,0.885245901639344,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/blind-rep01-result.rds"
"v4cross-b-pt5-rep01-blind","v4cross","v4b","blind",1,"trueSister_AC",1,0.978142076502732,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/blind-rep01-result.rds"
"v4cross-b-pt5-rep01-blind","v4cross","v4b","blind",1,"trueSister_BD",1,0.147540983606557,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/blind-rep01-result.rds"
"v4cross-b-pt5-rep01-aware","v4cross","v4b","aware",1,"CID",0.0051523847070156,0.0051523847070156,NA,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/aware-rep01-result.rds"
"v4cross-b-pt5-rep01-aware","v4cross","v4b","aware",1,"falseClade_AB",0,0,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/aware-rep01-result.rds"
"v4cross-b-pt5-rep01-aware","v4cross","v4b","aware",1,"falseInner",0,0,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/aware-rep01-result.rds"
"v4cross-b-pt5-rep01-aware","v4cross","v4b","aware",1,"trueClade_A",0.983606557377049,0.551912568306011,1,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/aware-rep01-result.rds"
"v4cross-b-pt5-rep01-aware","v4cross","v4b","aware",1,"trueClade_B",1,0.967213114754098,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/aware-rep01-result.rds"
"v4cross-b-pt5-rep01-aware","v4cross","v4b","aware",1,"trueClade_C",1,0.994535519125683,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/aware-rep01-result.rds"
"v4cross-b-pt5-rep01-aware","v4cross","v4b","aware",1,"trueClade_D",1,0.770491803278688,0,183,"/nobackup/pjjg18/mkp-sim3-v4cross-b-pt5/results/rep01/aware-rep01-result.rds"
