"metric","value_corrected","value_legacy","nTrees","rep","chain","nTreesTotal","nUnique","topShare","tlMean","tlMed","tlMin","tlMax","truthTL"
"falseSister_CD",0.918032786885246,0.213114754098361,183,4,"blind",245,139,0.0382513661202186,24.3762706690619,24.2631345405146,18.8267096872796,32.5094067123195,13.5
"trueClade_A",0.273224043715847,0.273224043715847,183,4,"blind",245,139,0.0382513661202186,24.3762706690619,24.2631345405146,18.8267096872796,32.5094067123195,13.5
"trueClade_B",0.797814207650273,0.797814207650273,183,4,"blind",245,139,0.0382513661202186,24.3762706690619,24.2631345405146,18.8267096872796,32.5094067123195,13.5
"trueClade_C",0.0163934426229508,0,183,4,"blind",245,139,0.0382513661202186,24.3762706690619,24.2631345405146,18.8267096872796,32.5094067123195,13.5
"trueClade_D",0,0,183,4,"blind",245,139,0.0382513661202186,24.3762706690619,24.2631345405146,18.8267096872796,32.5094067123195,13.5
"CID",0.495996851088619,0.495996851088619,183,4,"blind",245,139,0.0382513661202186,24.3762706690619,24.2631345405146,18.8267096872796,32.5094067123195,13.5
"trueSister_AC",0.0116279069767442,0,172,4,"aware",230,94,0.0523255813953488,3.21248028632343,3.15412744949198,2.39163306323828,4.48126753691742,13.5
"trueSister_BD",0.0116279069767442,0.0116279069767442,172,4,"aware",230,94,0.0523255813953488,3.21248028632343,3.15412744949198,2.39163306323828,4.48126753691742,13.5
"falseSister_AB",0.319767441860465,0.244186046511628,172,4,"aware",230,94,0.0523255813953488,3.21248028632343,3.15412744949198,2.39163306323828,4.48126753691742,13.5
"falseSister_CD",0.319767441860465,0.0755813953488372,172,4,"aware",230,94,0.0523255813953488,3.21248028632343,3.15412744949198,2.39163306323828,4.48126753691742,13.5
"trueClade_A",0.267441860465116,0.267441860465116,172,4,"aware",230,94,0.0523255813953488,3.21248028632343,3.15412744949198,2.39163306323828,4.48126753691742,13.5
"trueClade_B",0.720930232558139,0.604651162790698,172,4,"aware",230,94,0.0523255813953488,3.21248028632343,3.15412744949198,2.39163306323828,4.48126753691742,13.5
"trueClade_C",0,0,172,4,"aware",230,94,0.0523255813953488,3.21248028632343,3.15412744949198,2.39163306323828,4.48126753691742,13.5
"trueClade_D",0.0174418604651163,0.0174418604651163,172,4,"aware",230,94,0.0523255813953488,3.21248028632343,3.15412744949198,2.39163306323828,4.48126753691742,13.5
"CID",0.404007462364165,0.404007462364165,172,4,"aware",230,94,0.0523255813953488,3.21248028632343,3.15412744949198,2.39163306323828,4.48126753691742,13.5
"trueSister_AC",0,0,180,5,"blind",240,168,0.0222222222222222,119.49211798895,118.777849636033,93.9583181699412,166.905037479338,13.5
"trueSister_BD",0,0,180,5,"blind",240,168,0.0222222222222222,119.49211798895,118.777849636033,93.9583181699412,166.905037479338,13.5
"falseSister_AB",0.977777777777778,0,180,5,"blind",240,168,0.0222222222222222,119.49211798895,118.777849636033,93.9583181699412,166.905037479338,13.5
"falseSister_CD",0.977777777777778,0.977777777777778,180,5,"blind",240,168,0.0222222222222222,119.49211798895,118.777849636033,93.9583181699412,166.905037479338,13.5
"trueClade_A",0.361111111111111,0.111111111111111,180,5,"blind",240,168,0.0222222222222222,119.49211798895,118.777849636033,93.9583181699412,166.905037479338,13.5
"trueClade_B",0.727777777777778,0.588888888888889,180,5,"blind",240,168,0.0222222222222222,119.49211798895,118.777849636033,93.9583181699412,166.905037479338,13.5
"trueClade_C",0.0333333333333333,0.0333333333333333,180,5,"blind",240,168,0.0222222222222222,119.49211798895,118.777849636033,93.9583181699412,166.905037479338,13.5
"trueClade_D",0.0555555555555556,0.0555555555555556,180,5,"blind",240,168,0.0222222222222222,119.49211798895,118.777849636033,93.9583181699412,166.905037479338,13.5
"CID",0.475407062099887,0.475407062099887,180,5,"blind",240,168,0.0222222222222222,119.49211798895,118.777849636033,93.9583181699412,166.905037479338,13.5
"trueSister_AC",0,0,182,5,"aware",243,111,0.0604395604395604,19.2058073091319,18.5751169472926,11.8673173705737,30.5009881486583,13.5
"trueSister_BD",0,0,182,5,"aware",243,111,0.0604395604395604,19.2058073091319,18.5751169472926,11.8673173705737,30.5009881486583,13.5
